Fecha procesado,2026-04-15 16:51:47
Fecha y Hora,2026-04-15 15:19:13
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),2.5
Velocidad (mm/min),1000
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_150x150x150_15.csv

X,Y,Z,Time (s),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-45.0,30.0,-60.0,0.75,-31.565378439197982,467.8651664476474,-16.75701309973447,469.2251664476475
-30.0,30.0,-60.0,0.75,-32.03244201342004,468.2383653394635,-16.849999999999998,469.62836533946347
-15.0,30.0,-60.0,0.75,-32.27896070079658,468.3371140487095,-16.899455113154502,469.74711404870953
0.0,30.0,-60.0,0.75,-32.35298690026553,468.29158418604885,-16.984076673956523,469.71158418604887
15.0,30.0,-60.0,0.75,-32.48293642577794,468.1840261994689,-17.21836533946351,469.6234813126235
30.0,30.0,-60.0,0.75,-32.612986900265525,468.06701309973437,-17.48,469.52701309973446
45.0,30.0,-60.0,0.75,-32.74114024817856,467.5811402481786,-17.72054488684549,469.0546720352895
60.0,30.0,-60.0,0.75,-32.93755798657996,466.9486982347586,-17.842442013420033,468.4457113344929
75.0,30.0,-60.0,0.75,-32.967013099734466,466.09108977369095,-17.572986900265526,467.58108977369096
75.0,15.0,-60.0,0.75,-32.166750633696424,465.9694551131544,-16.995166447647513,467.37999999999994
60.0,15.0,-60.0,0.75,-32.35999999999999,466.82085782737107,-17.052442013420034,468.2508578273711
45.0,15.0,-60.0,0.75,-32.40940463866692,467.35163466053643,-16.98706357422205,468.77810287342544
30.0,15.0,-60.0,0.75,-32.47999999999999,467.6189607007966,-16.84,469.0389607007965
15.0,15.0,-60.0,0.75,-32.46402619946894,467.855973800531,-16.687013099734468,469.275973800531
0.0,15.0,-60.0,0.75,-32.45815334791304,467.90755798658,-16.518052398937883,469.31755798657997
-15.0,15.0,-60.0,0.75,-32.46701309973447,467.86755798658,-16.439999999999998,469.27755798657995
-30.0,15.0,-60.0,0.75,-32.40348131262344,467.7508073528836,-16.326468212888972,469.1508073528835
-45.0,15.0,-60.0,0.75,-32.13462156080202,467.53651868737654,-16.160544886845493,468.9165186873766
-60.0,15.0,-60.0,0.75,-31.79,466.92402619946887,-15.917013099734472,468.27402619946884
-75.0,15.0,-60.0,0.75,-31.462391538932447,466.00303737475315,-15.523481312623442,467.313037374753
-75.0,0.0,-60.0,0.75,-32.455923326043475,465.74561038551775,-15.457013099734471,467.12561038551775
-60.0,0.0,-60.0,0.75,-32.48005047448758,466.6818971265745,-15.500544886845496,468.06189712657454
-45.0,0.0,-60.0,0.75,-32.45597380053106,467.24407667395644,-15.675923326043478,468.62407667395644
-30.0,0.0,-60.0,0.75,-32.48293642577794,467.53358226159855,-15.897063574222049,468.92358226159854
-15.0,0.0,-60.0,0.75,-32.45488402684007,467.678153347913,-16.136468212888975,469.07815334791303
0.0,0.0,-60.0,0.75,-32.39646821288897,467.74542891368554,-16.325923326043476,469.1454289136855
15.0,0.0,-60.0,0.75,-32.37184665208696,467.7904944123579,-16.436468212888975,469.1904944123579
30.0,0.0,-60.0,0.75,-32.18696262524689,467.67080735288357,-16.470494412357915,469.06080735288356
45.0,0.0,-60.0,0.75,-31.80701309973447,467.38745703760475,-16.43592332604348,468.7474570376047
60.0,0.0,-60.0,0.75,-31.458910226309005,466.83108977369096,-16.45,468.17108977369094
75.0,0.0,-60.0,0.75,-31.084833552352485,465.9171140487096,-16.592986900265526,467.2465691618641
75.0,-15.0,-60.0,0.75,-30.0294551131545,465.97293642577785,-16.11542891368556,467.2129364257779
60.0,-15.0,-60.0,0.75,-30.638698234758536,466.88140271421656,-15.632986900265529,468.1414027142166
45.0,-15.0,-60.0,0.75,-31.407557986579963,467.5070130997344,-15.649455113154504,468.8170130997344
30.0,-15.0,-60.0,0.75,-31.902179547381987,467.7910392992034,-15.76859728578338,469.1410392992034
15.0,-15.0,-60.0,0.75,-32.26163466053649,467.938910226309,-15.790544886845495,469.3089102263089
0.0,-15.0,-60.0,0.75,-32.501089773690985,467.94732604026,-15.774076673956522,469.3373260402601
-15.0,-15.0,-60.0,0.75,-32.562391538932445,467.8239757249813,-15.582936425777948,469.2104439378703
-30.0,-15.0,-60.0,0.75,-32.723037374753105,467.46542891368546,-15.224571086314437,468.8554289136855
-45.0,-15.0,-60.0,0.75,-32.94353178711102,467.0478709271057,-14.952230021869562,468.438415813951
-60.0,-15.0,-60.0,0.75,-33.20407667395652,466.44348131262336,-14.880544886845495,467.85348131262344
-75.0,-15.0,-60.0,0.75,-33.38815334791304,465.4316346605365,-15.218910226309005,466.8716346605364
-75.0,-30.0,-60.0,0.75,-34.51,465.25566086000543,-15.400544886845497,466.7856608600054
-60.0,-30.0,-60.0,0.75,-34.20298690026553,466.2289607007966,-14.500544886845494,467.69896070079653
-45.0,-30.0,-60.0,0.75,-33.65646821288897,467.04651868737665,-14.378910226309005,468.47651868737654
-30.0,-30.0,-60.0,0.75,-33.2094551131545,467.61994952551237,-14.620494412357917,469.01994952551235
-15.0,-30.0,-60.0,0.75,-32.88706357422205,467.95592332604343,-14.909999999999998,469.3459233260434
0.0,-30.0,-60.0,0.75,-32.60999999999999,468.17384472763666,-15.090544886845498,469.5438447276366
15.0,-30.0,-60.0,0.75,-32.28646821288897,468.278910226309,-15.063531787111023,469.628910226309
30.0,-30.0,-60.0,0.75,-31.727063574222047,468.0286477602709,-14.871089773690992,469.3321795473819
45.0,-30.0,-60.0,0.75,-30.90407667395652,467.7100504744875,-14.707326040260098,468.9600504744875
60.0,-30.0,-60.0,0.75,-29.98836533946351,466.9989607007966,-14.812986900265528,468.18896070079654
75.0,-30.0,-60.0,0.75,-29.220544886845488,466.1310897736909,-15.760544886845494,467.311089773691
75.0,-45.0,-60.0,0.75,-28.87379425314907,466.9202119915504,-16.21782045261801,468.08966710470503
60.0,-45.0,-60.0,0.75,-29.267063574222053,467.3416346605364,-14.542986900265529,468.48163466053643
45.0,-45.0,-60.0,0.75,-30.4594551131545,467.8904138895006,-14.094571086314437,469.0904138895008
30.0,-45.0,-60.0,0.75,-31.460544886845497,468.25516644764747,-14.179455113154502,469.515711334493
15.0,-45.0,-60.0,0.75,-32.19625622133851,468.50026246603807,-14.324076673956522,469.820262466038
0.0,-45.0,-60.0,0.75,-32.79348131262344,468.4259738005311,-14.419455113154502,469.78597380053094
-15.0,-45.0,-60.0,0.75,-33.252986900265526,468.1775075120923,-14.225166447647512,469.5675075120924
-30.0,-45.0,-60.0,0.75,-33.759455113154495,467.647820452618,-13.928415813951087,469.0678204526179
-45.0,-45.0,-60.0,0.75,-34.40815334791304,466.903037374753,-13.90407667395652,468.37303737475304
-60.0,-45.0,-60.0,0.75,-35.21701309973447,466.0810392992033,-14.492986900265528,467.63103929920334
-75.0,-45.0,-60.0,0.75,-35.47108977369099,465.19163466053647,-16.229999999999997,466.82163466053646
-75.0,-60.0,-60.0,0.75,-35.56298690026553,465.94488402684004,-17.829999999999995,467.63488402684004
-60.0,-60.0,-60.0,0.75,-35.90353178711102,466.0834813126234,-15.159999999999997,467.70348131262335
-45.0,-60.0,-60.0,0.75,-35.14298690026553,466.85571133449287,-13.872986900265525,468.37571133449296
-30.0,-60.0,-60.0,0.75,-34.27542891368556,467.66914217262877,-13.632986900265529,469.1191421726288
-15.0,-60.0,-60.0,0.75,-33.52701309973447,468.2799999999999,-13.668960700796585,469.67
0.0,-60.0,-60.0,0.75,-32.83999999999999,468.63194760106205,-13.755973800531056,469.9789607007965
15.0,-60.0,-60.0,0.75,-32.02592332604348,468.70815334791297,-13.709999999999999,469.998153347913
30.0,-60.0,-60.0,0.75,-31.059999999999995,468.61457108631447,-13.752986900265528,469.8345710863144
45.0,-60.0,-60.0,0.75,-29.918910226309006,468.30683162790217,-14.015923326043476,469.4668316279022
60.0,-60.0,-60.0,0.75,-29.031846652086955,468.2408578273711,-15.112391538932451,469.3803129405256
75.0,-60.0,-60.0,0.75,-30.12986900265529,469.2649345013276,-17.701947601062113,470.55792140159315
75.0,-75.0,-60.0,0.75,-36.36864776027096,475.9330373747531,-19.712986900265523,477.7230373747531
60.0,-75.0,-60.0,0.75,-30.97518640241691,471.27784040738726,-16.95843576872049,472.5983852942329
45.0,-75.0,-60.0,0.75,-30.36,469.81031294052553,-15.18,471.0303129405256
30.0,-75.0,-60.0,0.75,-31.16348131262344,469.4384662884387,-14.318647760270958,470.68547938817306
15.0,-75.0,-60.0,0.75,-32.110544886845496,469.292179547382,-13.978910226309006,470.5921795473818
0.0,-75.0,-60.0,0.75,-33.15,469.1040261994688,-13.887013099734471,470.47402619946894
-15.0,-75.0,-60.0,0.75,-34.1194551131545,468.68511597315995,-13.93108977369099,470.1251159731599
-30.0,-75.0,-60.0,0.75,-34.944076673956516,468.1910392992034,-14.23298690026553,469.70103929920344
-45.0,-75.0,-60.0,0.75,-35.80542891368556,467.7813017652415,-15.113481312623446,469.39130176524145
-60.0,-75.0,-60.0,0.75,-36.06158418604891,467.8322300218695,-17.038960700796583,469.52223002186946
-75.0,-75.0,-60.0,0.75,-33.69244201342003,470.0767811534146,-20.062442013420032,471.7067811534145
-75.0,-75.0,-45.0,0.75,-34.55049441235792,467.3016346605365,-9.30859728578338,468.66163466053644
-60.0,-75.0,-45.0,0.75,-35.43597380053106,467.3299999999999,-12.145973800531058,468.8229869002655
-45.0,-75.0,-45.0,0.75,-35.27651868737655,467.6146720352896,-12.886518687376553,469.11467203528963
-30.0,-75.0,-45.0,0.75,-34.72,468.0129869002655,-13.145923326043476,469.4794551131545
-15.0,-75.0,-45.0,0.75,-33.9,468.4845710863144,-13.253531787111024,469.89457108631433
0.0,-75.0,-45.0,0.75,-33.086518687376554,468.82293642577787,-13.296468212888975,470.1729364257779
15.0,-75.0,-45.0,0.75,-32.07054488684549,469.1049039816094,-13.207013099734471,470.3849039816094
30.0,-75.0,-45.0,0.75,-31.057557986579965,469.41488402684007,-12.960544886845495,470.61488402684
45.0,-75.0,-45.0,0.75,-30.229999999999997,469.48189712657455,-12.396468212888974,470.6118971265746
