Fecha procesado,2026-05-27 18:28:17
Fecha y Hora,2026-05-27 12:47:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),85
Paso radial (mm),85
Resol theta (deg),4
Resol phi (deg),4
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_85_85_4_4_R2.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
7.2831,9.3219,84.1728,21.3,84.99999999999999,8.0,52.0,458.5826035304829,35.79,59.267557986579966,463.77965866399177
7.9156,8.7912,84.1728,20.8,84.99999999999999,8.0,48.0,458.5121795473819,35.88651868737656,59.28298690026553,463.7194556546092
8.5096,8.2176,84.1728,20.9,84.99999999999999,8.0,43.99999999999999,458.5134813126234,35.8694551131545,59.2994551131545,463.72152821737
9.0621,7.604,84.1728,22.0,84.99999999999999,8.0,39.99999999999999,458.53699314496504,35.90597380053106,59.312442013420025,463.7492628722826
9.5704,6.9533,84.1728,20.8,84.99999999999999,8.0,35.99999999999999,458.5010392992033,35.98701309973447,59.25298690026553,463.7123942778466
10.0322,6.2688,84.1728,23.0,84.99999999999999,8.0,32.0,458.5070130997345,36.05701309973447,59.23701309973447,463.72169776310085
10.445,5.5537,84.1728,20.9,84.99999999999999,8.0,28.0,458.53353178711086,36.06298690026553,59.26353178711103,463.75177088310085
10.807,4.8116,84.1728,21.9,84.99999999999999,8.0,24.0,458.49755798657986,36.007013099734465,59.29189712657453,463.7154782157804
11.1163,4.046,84.1728,20.5,84.99999999999999,8.0,19.999999999999996,458.54462156080194,35.91298690026552,59.316468212888964,463.7578635362298
11.3715,3.2607,84.1728,20.9,84.99999999999999,8.0,16.0,458.52940463866685,35.82999999999999,59.309999999999995,463.73557111600815
11.5712,2.4595,84.1728,21.2,84.99999999999999,8.0,12.0,458.45511597315993,35.85999999999999,59.297557986579946,463.66284447336875
11.7146,1.6464,84.1728,19.6,84.99999999999999,8.0,8.0,458.47423819101937,35.9794551131545,59.289455113154496,463.6899694436896
11.8009,0.8252,84.1728,21.3,84.99999999999999,8.0,4.0,458.39506549867224,35.85298690026553,59.31701309973447,463.6054149665173
11.8297,0.0,84.1728,21.9,84.99999999999999,8.0,0.0,458.4473260402602,35.773531787111025,59.313531787111025,463.6505056430422
