Fecha procesado,2026-05-11 13:01:00
Fecha y Hora,2026-05-08 17:32:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Eje rapido,Z
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_170x170x170_5_R2.csv

X,Y,Z,T_robot (C),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-85.0,-60.0,-65.0,23.6,461.8564987326072,28.425923326043478,56.80537843919798,466.2041500867419
-85.0,-60.0,-70.0,22.7,461.30527749022286,28.147557986579958,55.78999999999999,465.5183864907372
-85.0,-60.0,-75.0,23.2,460.562512442677,27.700544886845492,54.82755798657996,464.6409465052676
-85.0,-60.0,-80.0,24.5,459.4241271484441,27.007063574222048,54.145973800531046,463.391515424937
-85.0,-60.0,-85.0,24.0,458.0815841860489,26.15298690026552,53.71054488684549,461.96053849462885
-85.0,-55.0,-85.0,25.0,458.2457113344929,26.693531787111027,54.60592332604348,462.25910857225375
-85.0,-55.0,-80.0,24.5,459.4721795473819,27.452986900265525,54.840544886845485,463.5470155564092
-85.0,-55.0,-75.0,24.5,460.5032693210728,28.039455113154503,55.391897126574534,464.6694893854342
-85.0,-55.0,-70.0,24.9,461.2129364257779,28.44348131262344,56.161634660536485,465.4895633238341
-85.0,-55.0,-65.0,24.2,461.61942459343624,28.686468212888972,56.99646821288897,466.0085879136211
-85.0,-55.0,-60.0,24.2,461.9081028734254,28.80651868737655,57.779999999999994,466.39836987173646
-85.0,-55.0,-55.0,24.1,461.90973753396185,28.812986900265525,58.36760846106753,466.4735486180035
-85.0,-55.0,-50.0,22.9,461.7851969673656,28.76402619946894,58.87353178711102,466.4107954223191
-85.0,-55.0,-45.0,25.8,461.6523410644448,28.67244201342003,59.189455113154494,466.31361178705424
-85.0,-55.0,-40.0,23.2,461.4486982347586,28.557013099734466,59.33483355235248,466.1234027298105
-85.0,-55.0,-35.0,24.2,461.1885972857833,28.45,59.35298690026552,465.8616767028723
-85.0,-55.0,-30.0,24.0,461.0050654986723,28.364026199468938,59.35402619946893,465.67487458930674
-85.0,-55.0,-25.0,23.8,460.8360242750186,28.300000000000004,59.217013099734466,465.48618229767
-85.0,-55.0,-20.0,23.6,460.761685135024,28.260544886845494,59.11755798657996,465.3975446304643
-85.0,-55.0,-15.0,24.7,460.7265186873765,28.23,59.00701309973447,465.3468443180223
-85.0,-55.0,-10.0,23.8,460.6559233260435,28.207013099734468,58.88244201342004,465.25977395519806
-85.0,-55.0,-5.0,25.0,460.57376373343084,28.207557986579964,58.80950558764208,465.16923384356295
-85.0,-55.0,0.0,24.0,460.67321884658537,28.206518687376548,58.723531787111035,465.2567844153238
-85.0,-55.0,5.0,24.3,460.651089773691,28.201089773690992,58.73836533946351,465.2364168214535
-85.0,-55.0,10.0,23.4,460.6656608600053,28.190544886845498,58.69,465.24410153875425
-85.0,-55.0,15.0,23.6,460.55919264711645,28.185923326043476,58.73537843919799,465.14412915342825
-85.0,-55.0,20.0,24.4,460.649505587642,28.175923326043474,58.699999999999996,465.22848112880416
-85.0,-55.0,25.0,24.2,460.5985972857834,28.110544886845492,58.63891022630899,465.1664136069969
-85.0,-55.0,30.0,23.6,460.58646821288886,28.059999999999995,58.65701309973446,465.15363428291613
-85.0,-55.0,35.0,24.7,460.6264682128889,27.991089773690987,58.56646821288898,465.17768167005784
-85.0,-55.0,40.0,23.8,460.5897175791925,27.95651868737655,58.511897126574524,465.13234351327236
-85.0,-55.0,45.0,24.2,460.54308784924064,27.903531787111024,58.3794551131545,465.0663432578373
-85.0,-55.0,50.0,24.2,460.648910226309,27.86701309973447,58.22945511315449,465.15014603304354
-85.0,-55.0,55.0,24.2,460.6186477602709,27.846518687376552,58.07537843919797,465.09968485085324
-85.0,-55.0,60.0,22.7,460.84782045261795,27.8594551131545,57.8805448868455,465.30314885193764
-85.0,-55.0,65.0,23.4,460.9439757249813,27.889455113154494,57.771634660536485,465.3866481056492
-85.0,-55.0,70.0,24.6,461.2769626252469,27.99244201342003,57.759455113154495,465.72112654851355
-85.0,-55.0,75.0,24.7,461.5758728515558,28.079999999999995,57.80189712657454,466.02771603211187
-85.0,-55.0,80.0,24.8,461.8740766739565,28.187557986579964,58.01402619946893,466.35590310892314
-85.0,-55.0,85.0,24.1,462.1618466520869,28.31,58.43701309973446,466.70109609994023
-85.0,-50.0,85.0,24.0,462.22293642577796,28.666468212888972,58.59,466.8025251194228
-85.0,-50.0,80.0,23.0,461.91760846106763,28.586468212888974,58.14407667395652,466.4394889195657
-85.0,-50.0,75.0,23.5,461.719243121604,28.490544886845495,57.901089773690984,466.20693561305717
-85.0,-50.0,70.0,23.1,461.423531787111,28.40701309973447,57.78298690026552,465.8943095330268
-85.0,-50.0,65.0,23.6,461.24158418604884,28.352986900265524,57.830000000000005,465.71665178370273
-85.0,-50.0,60.0,23.8,461.061089773691,28.32999999999999,57.9194551131545,465.5476137667427
-85.0,-50.0,55.0,23.5,460.982179547382,28.31646821288897,58.04,465.4836558165133
-85.0,-50.0,50.0,23.1,460.7976084610675,28.3394551131545,58.23298690026553,465.3263816321575
-85.0,-50.0,45.0,23.8,460.80755798658,28.36701309973447,58.374076673956516,465.3555906586841
-85.0,-50.0,40.0,24.5,460.7923915389324,28.416468212888972,58.42755798657997,465.3503017062931
-85.0,-50.0,35.0,23.7,460.7105448868454,28.478910226309004,58.538910226309014,465.28707107343536
-85.0,-50.0,30.0,24.1,460.7429364257779,28.51597380053105,58.59298690026552,465.32822001457816
-85.0,-50.0,25.0,23.1,460.73864776027085,28.558910226309,58.61244201342003,465.3290569608283
