x,y,z,B
20.0,-25.0,-85.0,45.868
25.0,-25.0,-85.0,45.865658
30.0,-25.0,-85.0,45.873024
35.0,-25.0,-85.0,45.874714
40.0,-25.0,-85.0,45.87465
45.0,-25.0,-85.0,45.86298
50.0,-25.0,-85.0,45.868805
55.0,-25.0,-85.0,45.88352
60.0,-25.0,-85.0,45.88321
65.0,-25.0,-85.0,45.87992
70.0,-25.0,-85.0,45.873486
75.0,-25.0,-85.0,45.871296
80.0,-25.0,-85.0,45.875355
85.0,-25.0,-85.0,46.067467
-85.0,-20.0,-85.0,46.014404
-80.0,-20.0,-85.0,46.008358
-75.0,-20.0,-85.0,46.01838
-70.0,-20.0,-85.0,46.01622
-65.0,-20.0,-85.0,46.028526
-60.0,-20.0,-85.0,46.02991
-55.0,-20.0,-85.0,46.0248
-50.0,-20.0,-85.0,46.040115
-45.0,-20.0,-85.0,46.041336
-40.0,-20.0,-85.0,46.045937
-35.0,-20.0,-85.0,46.019123
-30.0,-20.0,-85.0,45.97837
-25.0,-20.0,-85.0,45.95467
-20.0,-20.0,-85.0,45.94584
-15.0,-20.0,-85.0,45.916595
-10.0,-20.0,-85.0,45.907745
-5.0,-20.0,-85.0,45.901867
0.0,-20.0,-85.0,45.88598
5.0,-20.0,-85.0,45.868813
10.0,-20.0,-85.0,45.86279
15.0,-20.0,-85.0,45.870975
20.0,-20.0,-85.0,45.867058
25.0,-20.0,-85.0,45.873528
30.0,-20.0,-85.0,45.88163
35.0,-20.0,-85.0,45.882874
40.0,-20.0,-85.0,45.87874
45.0,-20.0,-85.0,45.87178
50.0,-20.0,-85.0,45.877373
55.0,-20.0,-85.0,45.88703
60.0,-20.0,-85.0,45.893066
65.0,-20.0,-85.0,45.896763
70.0,-20.0,-85.0,45.883198
75.0,-20.0,-85.0,45.89581
80.0,-20.0,-85.0,45.88688
85.0,-20.0,-85.0,46.096233
-85.0,-15.0,-85.0,46.0264
-80.0,-15.0,-85.0,46.018604
-75.0,-15.0,-85.0,46.01682
-70.0,-15.0,-85.0,46.025917
-65.0,-15.0,-85.0,46.035282
-60.0,-15.0,-85.0,46.03489
-55.0,-15.0,-85.0,46.041874
-50.0,-15.0,-85.0,46.052143
-45.0,-15.0,-85.0,46.048912
-40.0,-15.0,-85.0,46.044838
-35.0,-15.0,-85.0,46.027348
-30.0,-15.0,-85.0,45.998062
-25.0,-15.0,-85.0,45.96395
-20.0,-15.0,-85.0,45.937744
-15.0,-15.0,-85.0,45.921547
-10.0,-15.0,-85.0,45.90614
-5.0,-15.0,-85.0,45.901855
0.0,-15.0,-85.0,45.881985
5.0,-15.0,-85.0,45.874207
10.0,-15.0,-85.0,45.86757
15.0,-15.0,-85.0,45.871334
20.0,-15.0,-85.0,45.864975
25.0,-15.0,-85.0,45.874672
30.0,-15.0,-85.0,45.87638
35.0,-15.0,-85.0,45.88292
40.0,-15.0,-85.0,45.88065
45.0,-15.0,-85.0,45.87598
50.0,-15.0,-85.0,45.87828
55.0,-15.0,-85.0,45.89153
60.0,-15.0,-85.0,45.89701
65.0,-15.0,-85.0,45.90828
70.0,-15.0,-85.0,45.90063
75.0,-15.0,-85.0,45.908863
80.0,-15.0,-85.0,45.911068
85.0,-15.0,-85.0,46.110455
-85.0,-10.0,-85.0,46.017925
-80.0,-10.0,-85.0,46.02668
-75.0,-10.0,-85.0,46.022125
-70.0,-10.0,-85.0,46.02992
-65.0,-10.0,-85.0,46.046688
-60.0,-10.0,-85.0,46.046093
-55.0,-10.0,-85.0,46.04703
-50.0,-10.0,-85.0,46.051857
-45.0,-10.0,-85.0,46.049034
-40.0,-10.0,-85.0,46.04366
-35.0,-10.0,-85.0,46.02947
-30.0,-10.0,-85.0,45.996117
-25.0,-10.0,-85.0,45.979412
-20.0,-10.0,-85.0,45.943985
-15.0,-10.0,-85.0,45.915466
-10.0,-10.0,-85.0,45.910316
-5.0,-10.0,-85.0,45.903748
0.0,-10.0,-85.0,45.883896
5.0,-10.0,-85.0,45.876762
10.0,-10.0,-85.0,45.868164
15.0,-10.0,-85.0,45.87431
20.0,-10.0,-85.0,45.868492
25.0,-10.0,-85.0,45.879356
30.0,-10.0,-85.0,45.883453
35.0,-10.0,-85.0,45.881447
40.0,-10.0,-85.0,45.884674
45.0,-10.0,-85.0,45.88077
50.0,-10.0,-85.0,45.88922
55.0,-10.0,-85.0,45.908222
60.0,-10.0,-85.0,45.908226
65.0,-10.0,-85.0,45.909836
70.0,-10.0,-85.0,45.90257
75.0,-10.0,-85.0,45.924717
80.0,-10.0,-85.0,45.920425
85.0,-10.0,-85.0,46.155254
-85.0,-5.0,-85.0,46.0167
-80.0,-5.0,-85.0,46.019875
-75.0,-5.0,-85.0,46.018074
-70.0,-5.0,-85.0,46.030216
-65.0,-5.0,-85.0,46.042004
-60.0,-5.0,-85.0,46.044487
-55.0,-5.0,-85.0,46.053265
-50.0,-5.0,-85.0,46.048313
-45.0,-5.0,-85.0,46.045815
-40.0,-5.0,-85.0,46.036633
-35.0,-5.0,-85.0,46.026894
-30.0,-5.0,-85.0,45.996407
-25.0,-5.0,-85.0,45.97062
-20.0,-5.0,-85.0,45.94979
-15.0,-5.0,-85.0,45.915653
-10.0,-5.0,-85.0,45.91515
-5.0,-5.0,-85.0,45.909252
0.0,-5.0,-85.0,45.88963
5.0,-5.0,-85.0,45.877113
10.0,-5.0,-85.0,45.868874
15.0,-5.0,-85.0,45.881992
20.0,-5.0,-85.0,45.864315
25.0,-5.0,-85.0,45.885826
30.0,-5.0,-85.0,45.890358
35.0,-5.0,-85.0,45.892418
40.0,-5.0,-85.0,45.894447
45.0,-5.0,-85.0,45.88068
50.0,-5.0,-85.0,45.891487
55.0,-5.0,-85.0,45.910168
60.0,-5.0,-85.0,45.915764
65.0,-5.0,-85.0,45.913895
70.0,-5.0,-85.0,45.918125
75.0,-5.0,-85.0,45.929447
80.0,-5.0,-85.0,45.930374
85.0,-5.0,-85.0,46.163273
-85.0,0.0,-85.0,46.015827
-80.0,0.0,-85.0,46.015842
-75.0,0.0,-85.0,46.014435
-70.0,0.0,-85.0,46.024853
-65.0,0.0,-85.0,46.04544
-60.0,0.0,-85.0,46.0382
-55.0,0.0,-85.0,46.04795
-50.0,0.0,-85.0,46.043957
-45.0,0.0,-85.0,46.045246
-40.0,0.0,-85.0,46.03031
-35.0,0.0,-85.0,46.024624
-30.0,0.0,-85.0,46.003315
-25.0,0.0,-85.0,45.97773
-20.0,0.0,-85.0,45.949345
-15.0,0.0,-85.0,45.92964
-10.0,0.0,-85.0,45.911255
-5.0,0.0,-85.0,45.89255
0.0,0.0,-85.0,45.885967
5.0,0.0,-85.0,45.885654
10.0,0.0,-85.0,45.866657
15.0,0.0,-85.0,45.875687
20.0,0.0,-85.0,45.86795
25.0,0.0,-85.0,45.894608
30.0,0.0,-85.0,45.887676
35.0,0.0,-85.0,45.880253
40.0,0.0,-85.0,45.88916
45.0,0.0,-85.0,45.90412
50.0,0.0,-85.0,45.890404
55.0,0.0,-85.0,45.909813
60.0,0.0,-85.0,45.91856
65.0,0.0,-85.0,45.92466
70.0,0.0,-85.0,45.92157
75.0,0.0,-85.0,45.927933
80.0,0.0,-85.0,45.93013
85.0,0.0,-85.0,46.18387
-85.0,5.0,-85.0,46.008224
-80.0,5.0,-85.0,46.01606
-75.0,5.0,-85.0,46.00988
-70.0,5.0,-85.0,46.01707
-65.0,5.0,-85.0,46.041836
-60.0,5.0,-85.0,46.03845
-55.0,5.0,-85.0,46.04207
-50.0,5.0,-85.0,46.052914
-45.0,5.0,-85.0,46.042175
-40.0,5.0,-85.0,46.032852
-35.0,5.0,-85.0,46.019028
-30.0,5.0,-85.0,45.999256
-25.0,5.0,-85.0,45.97669
-20.0,5.0,-85.0,45.950607
-15.0,5.0,-85.0,45.935402
-10.0,5.0,-85.0,45.91161
-5.0,5.0,-85.0,45.896904
0.0,5.0,-85.0,45.89234
5.0,5.0,-85.0,45.888077
10.0,5.0,-85.0,45.875736
15.0,5.0,-85.0,45.871555
20.0,5.0,-85.0,45.873882
25.0,5.0,-85.0,45.896763
30.0,5.0,-85.0,45.886036
35.0,5.0,-85.0,45.883923
40.0,5.0,-85.0,45.898365
45.0,5.0,-85.0,45.89727
50.0,5.0,-85.0,45.887344
55.0,5.0,-85.0,45.906826
60.0,5.0,-85.0,45.90898
65.0,5.0,-85.0,45.917538
70.0,5.0,-85.0,45.922657
75.0,5.0,-85.0,45.92367
80.0,5.0,-85.0,45.928616
85.0,5.0,-85.0,46.193527
-85.0,10.0,-85.0,45.999317
-80.0,10.0,-85.0,46.000687
-75.0,10.0,-85.0,46.000202
-70.0,10.0,-85.0,46.017002
-65.0,10.0,-85.0,46.02416
-60.0,10.0,-85.0,46.03536
-55.0,10.0,-85.0,46.05337
-50.0,10.0,-85.0,46.040726
-45.0,10.0,-85.0,46.05149
-40.0,10.0,-85.0,46.027058
-35.0,10.0,-85.0,46.017227
-30.0,10.0,-85.0,45.993153
-25.0,10.0,-85.0,45.971043
-20.0,10.0,-85.0,45.943104
-15.0,10.0,-85.0,45.914433
-10.0,10.0,-85.0,45.911015
-5.0,10.0,-85.0,45.89853
0.0,10.0,-85.0,45.88602
5.0,10.0,-85.0,45.883873
10.0,10.0,-85.0,45.868076
15.0,10.0,-85.0,45.86527
20.0,10.0,-85.0,45.873497
25.0,10.0,-85.0,45.867588
30.0,10.0,-85.0,45.88142
35.0,10.0,-85.0,45.896587
40.0,10.0,-85.0,45.898582
45.0,10.0,-85.0,45.883667
50.0,10.0,-85.0,45.887558
55.0,10.0,-85.0,45.902054
60.0,10.0,-85.0,45.90145
65.0,10.0,-85.0,45.92295
70.0,10.0,-85.0,45.918285
75.0,10.0,-85.0,45.923477
80.0,10.0,-85.0,45.932083
85.0,10.0,-85.0,46.215748
-85.0,15.0,-85.0,45.982265
-80.0,15.0,-85.0,45.99369
-75.0,15.0,-85.0,45.992943
-70.0,15.0,-85.0,46.004173
-65.0,15.0,-85.0,46.006447
-60.0,15.0,-85.0,46.031677
-55.0,15.0,-85.0,46.04556
-50.0,15.0,-85.0,46.0348
-45.0,15.0,-85.0,46.041668
-40.0,15.0,-85.0,46.041687
-35.0,15.0,-85.0,46.01559
-30.0,15.0,-85.0,45.985706
-25.0,15.0,-85.0,45.96169
-20.0,15.0,-85.0,45.93964
-15.0,15.0,-85.0,45.909557
-10.0,15.0,-85.0,45.908096
-5.0,15.0,-85.0,45.885635
0.0,15.0,-85.0,45.87378
5.0,15.0,-85.0,45.876087
10.0,15.0,-85.0,45.876446
15.0,15.0,-85.0,45.857513
20.0,15.0,-85.0,45.875725
